id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",north,south,west,east,high,low,ok_for_export,"notes","name","scientific_name",locked
71,4,"2008-01-17 06:42:08","2012-12-28 19:14:00",1,26,132894,805,"2018-08-28 16:32:33",37.0072,36.9581,-121.906,-121.839,NULL,NULL,1,"[admin - Sat Aug 14 01:56:56 +0000 2010]: Changed location name from 'Aptos, Santa Cruz Co., California, USA' to 'Aptos, California, USA'","Aptos, California, USA","USA, California, Aptos",0
72,6,"2008-01-17 06:46:03","2018-04-10 00:19:16",1,27,164175,1500,"2018-08-31 02:11:46",37.0035,36.9773,-122.07,-122.048,NULL,NULL,1,"[admin - Sat Aug 14 01:56:56 +0000 2010]: Changed location name from 'UCSC Campus, Santa Cruz, Santa Cruz Co., California, USA' to 'University of California Santa Cruz, Santa Cruz Co., California, USA'

[admin - 2014-12-18 22:49:07 +0000]: Merged with ucsc campus, Santa cruz co., California, USA: North: 37.005, South: 36.9788, West: -122.069, East: -122.047

[admin - 2018-04-10 00:19:16 +0000]: Merged with University of California Santa Cruz, California, USA: North: 37.0047, South: 37.002, West: -122.061, East: -122.059","University of California Santa Cruz, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., University of California Santa Cruz",0
86,4,"2008-02-11 21:48:11","2013-07-13 19:11:55",252,30,158643,118,"2018-06-13 21:41:45",37.6452,37.6251,-121.783,-121.755,200,145,1,"As of 2013-07-13, the GoogleMap green area labeled \"Sycamore Grove Park\" is only a fraction of the park.  For a complete map see the \"Trail Map\":http://www.larpd.dst.ca.us/open_space/sycamore.html at
\"http://www.larpd.dst.ca.us/open_space/sycamore.html\":http://www.larpd.dst.ca.us/open_space/sycamore.html

[admin - Sat Aug 14 01:56:57 +0000 2010]: Changed location name from 'Sycamore Grove Park, Livermore, Alameda Co., California, USA' to 'Sycamore Grove Park, Livermore, California, USA'
","Sycamore Grove Park, Livermore, California, USA","USA, California, Livermore, Sycamore Grove Park",0
103,3,"2008-03-28 06:18:15","2016-01-11 23:20:20",1,NULL,258428,999,"2018-07-20 18:51:45",37.26,36.9883,-122.154,-121.807,1000,0,1,"","Santa Cruz Mountains, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., Santa Cruz Mountains",0
104,3,"2008-03-29 19:40:38","2010-08-14 01:56:57",25,NULL,NULL,170,"2018-09-05 12:47:04",37.7322,37.7165,-122.492,-122.472,NULL,NULL,1,"[admin - Sat Aug 14 01:56:57 +0000 2010]: Changed location name from 'SFSU campus, San Francisco, CA' to 'San Francisco State University, San Francisco, California, USA'","San Francisco State University, San Francisco, California, USA","USA, California, San Francisco, San Francisco State University",0
117,6,"2008-03-31 20:07:33","2017-03-22 21:54:21",25,NULL,260768,548,"2018-09-05 04:35:56",37.8266,37.7273,-122.252,-122.111,NULL,NULL,1,"[admin - Sat Aug 14 01:56:57 +0000 2010]: Changed location name from 'Oakland, Alameda Co., California, USA' to 'Oakland, California, USA'

[admin - 2016-01-31 23:04:00 +0000]: Merged with Oakland, CA: North: 37.8788, South: 37.6933, West: -122.34, East: -122.112

[admin - 2017-03-22 21:54:21 +0000]: Merged with Oakland California: North: 37.83, South: 37.7479, West: -122.263, East: -122.193","Oakland, California, USA","USA, California, Oakland",0
123,4,"2008-04-04 19:38:39","2011-11-15 14:46:20",25,NULL,47749,541,"2018-09-03 20:11:19",37.8216,37.8031,-122.202,-122.175,NULL,NULL,1,"

[admin - 2011-11-15 14:46:20 +0000]: Merged with Joaquin Miller Park, Oakland, Alameda Co, California, USA: North: 37.823, South: 37.8066, West: -122.193, East: -122.165","Joaquin Miller Park, Oakland, California, USA","USA, California, Oakland, Joaquin Miller Park",0
125,7,"2008-04-04 19:46:38","2017-11-19 07:03:14",25,NULL,90518,853,"2018-09-09 16:21:24",37.8141,37.7012,-122.518,-122.37,NULL,NULL,1,"[admin - 2011-12-16 23:05:27 +0000]: Merged with 1523 Golden Gate Ave., San Francisco, California, USA: North: 37.8972, South: 37.6607, West: -122.826, East: -122.046

[admin - 2013-07-22 20:25:33 +0000]: Merged with San Francisco, CA: North: 37.7865, South: 37.755, West: -122.513, East: -122.441

[admin - 2016-12-29 08:30:47 +0000]: Merged with San Fransisco, California, USA: North: 37.9298, South: 37.6441, West: -122.713, East: -122.282

[admin - 2017-03-23 00:31:11 +0000]: Merged with San Francisco: North: 37.9298, South: 37.6398, West: -123.174, East: -122.282

[admin - 2017-11-19 07:03:14 +0000]: Merged with San Francisco, CA: North: 37.8984, South: 37.8957, West: -122.582, East: -122.58","San Francisco, California, USA","USA, California, San Francisco",0
126,3,"2008-04-04 19:49:11","2010-08-14 01:56:58",25,NULL,NULL,59,"2018-07-18 02:46:41",37.2776,37.2287,-122.226,-122.161,NULL,NULL,1,"[admin - Sat Aug 14 01:56:58 +0000 2010]: Changed location name from 'Portola Redwoods State Park, California' to 'Portola Redwoods State Park, San Mateo Co., California, USA'","Portola Redwoods State Park, San Mateo Co., California, USA","USA, California, San Mateo Co., Portola Redwoods State Park",0
128,4,"2008-04-04 20:01:26","2013-07-22 20:19:17",25,NULL,159501,450,"2018-08-04 04:58:54",37.8467,37.8379,-122.197,-122.184,NULL,NULL,1,"See \"Huckleberry Botanic Regional Preserve web page\":http://www.ebparks.org/parks/huckleberry

[admin - 2013-07-22 20:19:17 +0000]: Merged with Hucklebery Preserve, Oakland, California, USA: North: 37.8467, South: 37.8385, West: -122.195, East: -122.184","Huckleberry Botanic Regional Preserve, Contra Costa Co., California, USA","USA, California, Contra Costa Co., Huckleberry Botanic Regional Preserve",0
130,3,"2008-04-08 14:21:45","2010-08-14 01:56:58",1,35,NULL,46,"2018-06-27 05:35:15",37.8566,37.7949,-122.225,-122.129,NULL,NULL,1,"[admin - Sat Aug 14 01:56:58 +0000 2010]: Changed location name from 'Montclair, Oakland, Alameda Co., California, USA' to 'Montclair, Oakland, California, USA'","Montclair, Oakland, California, USA","USA, California, Oakland, Montclair",0
140,7,"2008-04-19 00:05:22","2010-08-14 01:56:58",25,NULL,NULL,226,"2018-05-29 15:33:13",37.9795,37.6615,-122.354,-122.152,NULL,NULL,1,"[admin - Sat Aug 14 01:56:58 +0000 2010]: Changed location name from 'East San Francisco Bay, California, USA' to 'Eastern San Francisco Bay Area, California, USA'","Eastern San Francisco Bay Area, California, USA","USA, California, Eastern San Francisco Bay Area",0
141,4,"2008-04-19 00:06:53","2010-08-14 01:56:58",25,NULL,NULL,273,"2018-07-29 05:13:56",37.9702,37.6077,-122.154,-121.918,NULL,NULL,1,"[admin - Sat Aug 14 01:56:58 +0000 2010]: Changed location name from 'Oakland Hills, Alameda Co., California, USA' to 'Oakland Hills, Oakland, California, USA'","Oakland Hills, Oakland, California, USA","USA, California, Oakland, Oakland Hills",0
142,2,"2008-04-19 00:21:19","2008-04-28 23:30:06",25,NULL,NULL,328,"2018-08-21 18:29:02",37.1072,37.0727,-121.918,-121.84,NULL,NULL,1,NULL,"Soquel Demonstration Forest, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., Soquel Demonstration Forest",0
143,2,"2008-04-19 00:28:29","2008-05-01 22:35:40",25,NULL,NULL,117,"2018-07-13 12:33:22",37.398,37.3445,-122.242,-122.184,NULL,NULL,1,NULL,"Portola Valley, California, USA","USA, California, Portola Valley",0
148,7,"2008-04-23 17:50:29","2016-01-06 01:31:47",123,NULL,174217,1034,"2018-09-03 01:03:33",37.04,37.01,-122.077,-122.039,NULL,NULL,1,"[admin - 2013-11-25 13:16:07 +0000]: Merged with Henry Cowell Redwoods State Park, Felton, CA, USA: North: 37.0595, South: 37.0236, West: -122.098, East: -122.03","Henry Cowell Redwoods State Park, Santa Cruz Co., California, USA","USA, California, Santa Cruz Co., Henry Cowell Redwoods State Park",0
151,3,"2008-04-23 18:05:02","2008-11-11 16:27:10",123,NULL,NULL,180,"2018-07-29 16:11:29",37.921,37.897,-122.562,-122.515,NULL,0,1,NULL,"Mill Valley, California, USA","USA, California, Mill Valley",0
166,4,"2008-04-28 16:09:18","2016-11-22 11:31:44",25,NULL,107897,116,"2018-09-06 07:57:36",38.1346,37.8098,-122.813,-122.426,NULL,NULL,1,"[admin - 2012-06-26 20:21:04 +0000]: Merged with Marin County, CA, USA: North: 38.3209, South: 37.8153, West: -123.048, East: -122.419

[admin - 2016-11-22 11:31:44 +0000]: Merged with Marin California: North: 38.3209, South: 37.8151, West: -123.048, East: -122.419","Marin Co., California, USA","USA, California, Marin Co.",0
173,4,"2008-04-28 18:10:10","2013-07-18 22:59:20",25,NULL,159385,24,"2017-09-04 01:24:03",37.6142,37.6039,-122.428,-122.417,NULL,NULL,1,"**\"Picking or removing ... natural material is prohibited.\"** See \"park web page\":http://www.co.sanmateo.ca.us/portal/site/parks/menuitem.f13bead76123ee4482439054d17332a0/?vgnextoid=237bc8909231e110VgnVCM1000001d37230aRCRD&cpsextcurrchannel=1 
[admin - Sat Aug 14 01:56:59 +0000 2010]: Changed location name from 'Junipero Serra Park, San Mateo Co., CA, USA' to 'Junipero Serra Park, San Mateo Co., California, USA'","Junipero Serra Park, San Mateo Co., California, USA","USA, California, San Mateo Co., Junipero Serra Park",0
179,2,"2008-04-28 20:18:11","2016-04-20 16:51:01",25,NULL,164111,239,"2018-08-26 23:45:22",37.4422,37.2281,-122.044,-121.751,NULL,NULL,1,"[admin - 2016-04-20 16:51:01 +0000]: Merged with Garden In San Jose, California, USA: North: 37.4695, South: 37.1245, West: -122.046, East: -121.589","San Jose, California, USA","USA, California, San Jose",0
182,1,"2008-04-29 19:34:56","2008-04-29 19:34:56",25,NULL,NULL,291,"2018-06-13 21:37:34",37.4488,37.4236,-122.318,-122.28,NULL,NULL,1,NULL,"Huddart Park, Woodside, California, USA","USA, California, Woodside, Huddart Park",0
183,5,"2008-04-29 19:36:49","2011-04-28 15:09:18",25,NULL,68722,273,"2018-07-06 04:39:52",37.0791,36.9661,-122.002,-121.907,NULL,NULL,1,"[admin - Sat Aug 14 01:56:59 +0000 2010]: Changed location name from 'Soquel, Santa Cruz Co., California, USA' to 'Soquel, California, USA'","Soquel, California, USA","USA, California, Soquel",0
188,2,"2008-04-29 20:38:54","2016-12-18 20:14:25",25,NULL,305169,156,"2018-03-31 00:42:29",37.9418,37.9155,-122.54,-122.496,NULL,NULL,1,"[admin - 2016-12-18 20:14:25 +0000]: Merged with Corte Madera, CA: North: 37.9421, South: 37.9078, West: -122.54, East: -122.481","Corte Madera, California, USA","USA, California, Corte Madera",0
192,1,"2008-04-29 23:43:00","2008-04-29 23:43:00",25,NULL,164286,1076,"2018-09-05 12:46:29",37.7746,37.7634,-122.514,-122.453,NULL,NULL,1,NULL,"Golden Gate Park, San Francisco, California, USA","USA, California, San Francisco, Golden Gate Park",0
193,3,"2008-04-29 23:46:14","2010-12-28 04:57:51",25,NULL,46747,119,"2018-07-27 19:38:27",37.3262,37.3153,-122.186,-122.172,NULL,NULL,1,"","Monte Bello Open Space Preserve, La Honda, California, USA","USA, California, La Honda, Monte Bello Open Space Preserve",0
194,1,"2008-04-29 23:50:02","2008-04-29 23:50:02",25,NULL,NULL,13,"2017-10-05 05:23:07",37.3846,37.3523,-122.114,-122.077,NULL,NULL,1,NULL,"Los Altos, California, USA","USA, California, Los Altos",0
195,2,"2008-04-29 23:53:34","2010-03-01 11:50:45",25,NULL,NULL,87,"2018-05-18 20:39:12",37.4438,37.4044,-122.3,-122.236,NULL,NULL,1,NULL,"Woodside, California, USA","USA, California, Woodside",0
201,1,"2008-04-30 23:57:26","2008-04-30 23:57:26",25,NULL,NULL,67,"2018-03-14 20:46:26",37.3565,37.3303,-122.176,-122.145,NULL,NULL,1,NULL,"Hidden Villa, Los Altos Hills, California, USA","USA, California, Los Altos Hills, Hidden Villa",0
205,4,"2008-05-01 00:15:52","2016-12-02 02:46:29",25,NULL,136036,111,"2018-06-14 18:04:26",37.453,37.0255,-122.176,-121.408,NULL,NULL,1,"","Santa Clara Co., California, USA","USA, California, Santa Clara Co.",0
206,1,"2008-05-01 00:22:23","2008-05-01 00:22:23",25,NULL,NULL,59,"2018-01-10 13:05:47",37.8807,37.8647,-122.523,-122.502,NULL,NULL,1,NULL,"Marin City, California, USA","USA, California, Marin City",0
233,3,"2008-05-05 16:06:46","2010-08-14 01:56:59",25,NULL,NULL,41,"2018-06-02 04:49:51",36.6199,36.5483,-121.716,-121.607,NULL,NULL,1,"[admin - Sat Aug 14 01:56:59 +0000 2010]: Changed location name from 'Toro Park, Monterey Co. California, USA' to 'Toro Park, Monterey Co., California, USA'","Toro Park, Monterey Co., California, USA","USA, California, Monterey Co., Toro Park",0
301,4,"2008-08-23 00:52:10","2010-08-14 01:57:01",5,NULL,NULL,92,"2018-06-06 11:51:23",37.735,37.694,-122.194,-122.108,245,0,1,"[admin - Sat Aug 14 01:57:01 +0000 2010]: Changed location name from 'San Leandro, Alameda County, California, USA' to 'San Leandro, California, USA'","San Leandro, California, USA","USA, California, San Leandro",0
362,4,"2008-09-18 04:49:01","2010-08-14 01:57:03",621,NULL,NULL,114,"2018-06-02 16:33:30",37.0616,37.0551,-122.061,-122.047,200,150,1,"[admin - Sat Aug 14 01:57:03 +0000 2010]: Changed location name from 'Felton, Santa Cruz Co., California, USA' to 'Felton, California, USA'","Felton, California, USA","USA, California, Felton",0
384,2,"2008-10-13 02:57:20","2011-06-17 04:47:09",252,84,73024,495,"2018-08-15 11:29:24",36.5255,36.5048,-121.957,-121.935,0,0,1,NULL,"Point Lobos State Park, Monterey Co., California, USA","USA, California, Monterey Co., Point Lobos State Park",0
395,3,"2008-10-18 21:32:45","2010-08-14 01:57:03",1,NULL,NULL,59,"2017-12-04 05:39:29",38.0042,37.9965,-122.535,-122.528,NULL,NULL,1,"[admin - Sat Aug 14 01:57:03 +0000 2010]: Changed location name from 'Marin Center, San Rafael, Marin Co., California, USA' to 'Marin Center, San Rafael, California, USA'","Marin Center, San Rafael, California, USA","USA, California, San Rafael, Marin Center",0
439,6,"2008-12-06 20:28:07","2016-04-17 23:34:06",941,NULL,71328,150,"2018-04-22 15:18:47",37.0732,37.0713,-122.072,-122.068,NULL,NULL,1,"Private","Ridgeview Dr., Ben Lomond, California, USA","USA, California, Ben Lomond, Ridgeview Dr.",0
448,4,"2008-12-15 01:17:43","2010-08-14 01:57:06",123,NULL,NULL,159,"2018-06-27 23:08:51",36.609,36.584,-121.904,-121.834,100,0,1,"[admin - Sat Aug 14 01:57:06 +0000 2010]: Changed location name from 'Monterey, Monterey Co., California, USA' to 'Monterey, California, USA'","Monterey, California, USA","USA, California, Monterey",0
455,3,"2009-01-12 05:05:25","2010-08-14 01:57:06",1,NULL,NULL,151,"2018-07-13 13:43:33",37.9441,37.93,-122.554,-122.518,NULL,NULL,1,"[admin - Sat Aug 14 01:57:06 +0000 2010]: Changed location name from 'Larkspur, Marin Co., California, USA' to 'Larkspur, California, USA'","Larkspur, California, USA","USA, California, Larkspur",0
462,4,"2009-01-18 23:55:32","2014-04-05 17:55:23",911,NULL,186395,625,"2018-08-21 12:02:45",37.0097,36.9811,-122.052,-122.034,NULL,NULL,1,"City of Santa Cruz, Parks Department, Pogonip: http://www.cityofsantacruz.com/index.aspx?page=605

[admin - 2014-04-05 17:55:23 +0000]: Merged with Pogonip Park, Santa Cruz, California, USA: North: 37.0081, South: 36.9809, West: -122.053, East: -122.034","Pogonip Open Space Reserve, Santa Cruz, California, USA","USA, California, Santa Cruz, Pogonip Open Space Reserve",0
471,6,"2009-02-15 05:44:25","2013-07-22 20:18:03",25,NULL,57175,146,"2018-05-03 21:42:23",37.9091,37.8475,-122.271,-122.2,NULL,NULL,1,"
[admin - Fri Nov 12 02:17:32 +0000 2010]: Merged with Grizzly Peak Rd., Berkeley, California, USA: North: 37.8992, South: 37.8473, West: -122.265, East: -122.2

[admin - 2013-07-22 20:18:03 +0000]: Merged with Grizzly Peak Blvd., Oakland, California, USA: North: 37.8837, South: 37.8476, West: -122.247, East: -122.201","Grizzly Peak Blvd., Berkeley, California, USA","USA, California, Berkeley, Grizzly Peak Blvd.",0
472,1,"2009-02-22 16:58:59","2009-02-22 16:58:59",25,NULL,NULL,246,"2018-05-31 15:44:35",37.3803,37.3595,-122.254,-122.218,NULL,NULL,1,NULL,"Windy Hill Preserve, Portola Valley, California, USA","USA, California, Portola Valley, Windy Hill Preserve",0
478,4,"2009-02-23 05:23:39","2010-08-30 07:40:21",0,NULL,49351,21,"2018-07-21 06:21:17",37.7404,37.7337,-122.154,-122.14,NULL,NULL,1,"[admin - Sat Aug 14 01:57:10 +0000 2010]: Changed location name from 'Sheffield Village, Oakland, Alameda Co., California, USA' to 'Sheffield Village, Oakland, California, USA'","Sheffield Village, Oakland, California, USA","USA, California, Oakland, Sheffield Village",0
479,1,"2009-02-23 05:32:44","2012-04-22 19:44:19",0,NULL,101617,585,"2018-09-04 08:55:40",37.8046,37.7099,-122.164,-122.074,NULL,NULL,1,NULL,"Anthony Chabot Regional Park, Alameda Co., California, USA","USA, California, Alameda Co., Anthony Chabot Regional Park",0
486,4,"2009-03-06 05:25:09","2010-08-14 01:57:11",1,NULL,NULL,26,"2018-01-10 10:58:31",37.7996,37.797,-122.265,-122.26,NULL,NULL,1,"[admin - Sat Aug 14 01:57:11 +0000 2010]: Changed location name from 'Oakland Museum, Oakland, Alameda Co., California, USA' to 'Oakland Museum, Oakland, California, USA'","Oakland Museum, Oakland, California, USA","USA, California, Oakland, Oakland Museum",0
487,3,"2009-03-06 05:31:27","2013-07-20 01:46:59",1,108,159484,142,"2018-03-26 05:59:29",37.2161,37.1488,-121.984,-121.856,NULL,NULL,1,"See \"Sierra Azul Open Space Preserve web page\":http://www.openspace.org/preserves/pr_sierra_azul.asp","Sierra Azul Open Space Preserve, Los Gatos, Santa Clara Co., California, USA","USA, California, Santa Clara Co., Los Gatos, Sierra Azul Open Space Preserve",0
533,9,"2009-05-02 03:13:07","2010-08-14 21:00:29",919,NULL,47687,292,"2018-06-13 18:26:26",37.9204,37.8425,-122.219,-122.144,400,0,1,"[admin - Sat Aug 14 01:57:12 +0000 2010]: Changed location name from 'Orinda, Contra Costa Co., California, USA' to 'Orinda, California, USA'","Orinda, California, USA","USA, California, Orinda",0
541,2,"2009-05-14 09:04:50","2009-05-14 09:05:19",25,NULL,NULL,159,"2018-09-05 13:18:05",37.2342,37.1981,-122.345,-122.271,NULL,NULL,1,NULL,"Butano State Park, San Mateo Co., California, USA","USA, California, San Mateo Co., Butano State Park",0
578,2,"2009-06-07 05:45:16","2009-08-27 11:31:35",123,NULL,NULL,251,"2018-09-05 06:27:39",37.82,37.4,-122.44,-122.04,NULL,NULL,1,NULL,"San Francisco Bay, California, USA","USA, California, San Francisco Bay",0
723,4,"2009-11-20 11:48:27","2011-02-22 20:37:04",25,344,63634,262,"2018-08-19 18:06:48",37.4124,37.3666,-122.174,-122.149,NULL,NULL,1,"","Page Mill Rd., Palo Alto, California, USA","USA, California, Palo Alto, Page Mill Rd.",0
727,4,"2009-11-29 18:38:14","2010-08-14 01:57:23",2,NULL,NULL,49,"2018-05-09 07:53:06",37.0994,37.0992,-122.12,-122.119,NULL,NULL,1,"[admin - Sat Aug 14 01:57:23 +0000 2010]: Changed location name from 'Sequoia Retreat Center, Alba Road, Ben Lomond, Santa Cruz CO., California, USA' to 'Sequoia Retreat Center, Alba Rd., Ben Lomond, California, USA'","Sequoia Retreat Center, Alba Rd., Ben Lomond, California, USA","USA, California, Ben Lomond, Alba Rd., Sequoia Retreat Center",0
742,8,"2009-12-10 13:27:54","2015-12-12 03:14:55",25,NULL,107874,518,"2018-09-08 01:29:48",37.8803,37.8591,-122.314,-122.25,NULL,NULL,1,"[admin - Sat Aug 14 01:57:24 +0000 2010]: Changed location name from 'Berkeley, Alameda Co., California, USA' to 'Berkeley, California, USA'

[admin - 2012-06-26 17:02:30 +0000]: Merged with Backyard in Berkeley, CA: North: 37.9057, South: 37.8462, West: -122.327, East: -122.234

[admin - 2012-06-26 17:02:54 +0000]: Merged with Berkeley, CA: North: 37.9057, South: 37.8462, West: -122.327, East: -122.234

[admin - 2013-12-07 15:02:44 +0000]: Merged with Berkeley, CA: North: 37.881, South: 37.8803, West: -122.28, East: -122.28

[admin - 2015-12-12 03:14:55 +0000]: Merged with Berkeley, CA: North: 37.9057, South: 37.8462, West: -122.327, East: -122.234","Berkeley, California, USA","USA, California, Berkeley",0
747,16,"2009-12-21 02:35:47","2010-08-14 01:57:24",123,NULL,164108,476,"2018-09-05 07:17:13",37.4,37.36,-122.07,-122.01,NULL,NULL,1,"[admin - Sat Aug 14 01:57:24 +0000 2010]: Changed location name from 'Sunnyvale, California' to 'Sunnyvale, California, USA'","Sunnyvale, California, USA","USA, California, Sunnyvale",0
784,5,"2010-01-18 12:07:48","2010-08-14 20:00:24",25,NULL,47746,724,"2018-08-20 03:28:30",37.848,37.8178,-122.185,-122.146,NULL,NULL,1,"Canyon is an unincorporated area in Contra Costa Co. between Montclair and Moraga.","Canyon, Contra Costa Co., California, USA","USA, California, Contra Costa Co., Canyon",0
785,3,"2010-01-18 12:12:25","2010-08-14 01:57:26",25,NULL,NULL,169,"2018-06-13 22:56:12",37.9472,37.9038,-122.267,-122.218,NULL,NULL,1,"[admin - Sat Aug 14 01:57:26 +0000 2010]: Changed location name from 'San Pablo Reservoir, Orinda, Contra costa Co., California, USA' to 'San Pablo Reservoir, Contra Costa Co., California, USA'","San Pablo Reservoir, Contra Costa Co., California, USA","USA, California, Contra Costa Co., San Pablo Reservoir",0
809,4,"2010-02-06 13:13:13","2010-08-14 01:57:27",1843,NULL,46748,104,"2018-07-08 21:24:17",37.3224,37.3224,-122.214,-122.214,NULL,NULL,1,"[admin - Sat Aug 14 01:57:27 +0000 2010]: Changed location name from 'Russian Ridge Trail Open Space Preserve, San Mateo County, California, USA' to 'Russian Ridge Trail Open Space Preserve, San Mateo Co., California, USA'","Russian Ridge Trail Open Space Preserve, San Mateo Co., California, USA","USA, California, San Mateo Co., Russian Ridge Trail Open Space Preserve",0
811,3,"2010-02-07 05:09:36","2010-08-14 01:57:27",1843,NULL,NULL,73,"2017-09-01 07:58:47",36.9863,36.9863,-121.851,-121.851,NULL,NULL,1,"[admin - Sat Aug 14 01:57:27 +0000 2010]: Changed location name from 'Freedom Boulevard, Aptos, Santa Cruz County, California, United States' to 'Freedom Blvd., Aptos, California, USA'","Freedom Blvd., Aptos, California, USA","USA, California, Aptos, Freedom Blvd.",0
844,3,"2010-02-26 19:43:40","2010-08-14 01:57:31",123,NULL,NULL,76,"2018-07-23 13:04:26",37.7706,37.7658,-122.444,-122.438,NULL,NULL,1,"[admin - Sat Aug 14 01:57:31 +0000 2010]: Changed location name from 'Buena Vista Park, San Francisco, CA' to 'Buena Vista Park, San Francisco, California, USA'","Buena Vista Park, San Francisco, California, USA","USA, California, San Francisco, Buena Vista Park",0
845,1,"2010-02-26 19:46:22","2010-02-26 19:46:22",123,NULL,NULL,440,"2018-08-12 04:42:52",37.5846,37.5182,-122.38,-122.29,NULL,NULL,1,NULL,"San Mateo, California, USA","USA, California, San Mateo",0
853,3,"2010-03-02 04:17:07","2010-08-14 01:57:31",2135,NULL,NULL,68,"2018-06-26 08:23:12",37.3844,37.3764,-121.792,-121.779,500,250,1,"[admin - Sat Aug 14 01:57:31 +0000 2010]: Changed location name from 'East San Jose Foothills, Santa Clara County, California, USA' to 'East San Jose Foothills, Santa Clara Co., California, USA'","East San Jose Foothills, Santa Clara Co., California, USA","USA, California, Santa Clara Co., East San Jose Foothills",0
